target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ar_cue,ar_target,ar_word_combo_related,ar_word_combo_unrelated,ar_cue_word_related,ar_cue_word_unrelated
عضلة,742.014125009969,607.185142852857,-0.13280626217356,-0.484386304178754,64.2712648319417,46.3290427723362,0.228767375571736,0.173664272119353,12,7,0,0,8,7,10,7,0,0,0.8,1,12,7,0,0,10,7,10,7,0,0,1,1,8,7,-134.828982157112,-0.351580042005194,ar,nerve,muscle,عصب,عضلة,عصبعضلة,سنجابعضلة,عصب,سنجاب
عطر,426.720999982208,500.964722228437,-0.971890123750719,-0.843628104488601,,27.8987300524807,,0.0585828331501655,1,20,0,1,1,18,1,18,0,0,1,1,1,20,0,1,1,18,1,18,0,0,1,1,1,18,74.243722246229,0.128262019262118,ar,lipstick,perfume,أحمر الشفاه,عطر,أحمر الشفاهعطر,كابوسعطر,أحمر الشفاه,كابوس
عطش,533,807.182208341628,-0.856871036233171,0.14000696194287,,133.921007684607,,0.342243091129077,1,26,0,2,1,24,1,25,0,0,1,0.96,1,25,0,3,1,14,1,24,0,1,1,0.583333333333333,1,24,274.182208341628,0.996877998176042,ar,hunger,thirst,جوع,عطش,جوععطش,سفليعطش,جوع,سفلي
عقد، عشر سنوات,875.192000003066,793.910684215652,0.455415636134511,0.287366765935378,,50.2222550432817,,0.120662038880559,2,20,1,1,1,19,1,19,0,0,1,1,2,20,1,1,1,18,1,19,0,0,1,0.947368421052632,1,19,-81.281315787414,-0.168048870199133,ar,century,decade,مئة عام,عقد، عشر سنوات,مئة عامعقد، عشر سنوات,معتل الصحةعقد، عشر سنوات,مئة عام,معتل الصحة
عقوبة السجن,799.405916688969,737.973000129316,0.162852497120643,-0.134335764099009,78.7132794098774,56.3077543430222,0.216382365593295,0.451552745112743,26,4,1,0,24,3,24,3,0,0,1,1,25,4,2,0,23,3,23,3,1,0,1,1,24,3,-61.4329165596527,-0.297188261219652,ar,penalty,imprisonment,ضربة جزاء,عقوبة السجن,ضربة جزاءعقوبة السجن,خزانعقوبة السجن,ضربة جزاء,خزان
عكس,588.447666712775,588.284200147231,-0.707251197118432,-0.47547107565739,24.55369321992,65.0944049710831,0.0685023823040427,0.11867809982607,19,6,0,1,15,5,16,5,0,0,0.9375,1,19,6,0,1,15,5,16,5,0,0,0.9375,1,15,5,-0.163466565543899,0.231780121461042,ar,opposite,contrary,ضد,عكس,ضدعكس,مئة عامعكس,ضد,مئة عام
علاج,631.952999996953,808.056599982124,-0.501554702917002,-0.000452143292917839,,241.986492290142,,0.721171459906288,1,5,0,0,1,5,1,5,0,0,1,1,1,5,0,0,1,3,1,5,0,0,1,0.6,1,5,176.103599985171,0.501102559624084,ar,therapy,treatment,علاج نفسي,علاج,علاج نفسيعلاج,ماركةعلاج,علاج نفسي,ماركة
علامة,498.09899995086,402.494499998487,-0.781840922163006,-0.849272844387619,19.2279008817819,48.715499998507,0.0677919011517937,0.323535377266642,5,3,1,0,4,2,4,2,0,0,1,1,5,3,1,0,4,2,4,2,0,0,1,1,4,2,-95.604499952373,-0.0674319222246121,ar,form,sign,شكل,علامة,شكلعلامة,مخعلامة,شكل,مخ
علم,578.472222193397,669.381519973737,-0.534530253310532,-0.257579618331533,38.5383361423218,63.4478732259738,0.167045501140864,0.242341452720133,21,35,2,1,18,25,18,27,1,0,1,0.925925925925926,21,35,2,1,18,25,18,27,1,0,1,0.925925925925926,18,25,90.9092977803402,0.276950634978999,ar,technology,science,تقنية,علم,تقنيةعلم,كوبعلم,تقنية,كوب
علم النفس,574.645294108853,510.444500004465,-0.638005432131604,-0.585396969146327,25.8328070909195,66.924500001536,0.0644135571205072,0.168550080509697,20,3,1,0,17,2,17,2,0,0,1,1,20,3,1,0,17,1,17,2,0,0,1,0.5,17,2,-64.2007941043877,0.0526084629852779,ar,anatomy,psychology,تشريح,علم النفس,تشريحعلم النفس,شقّعلم النفس,تشريح,شقّ
علوي,707.914357122719,582.203000044683,-0.0935774549088698,-0.666851833377012,40.1007212667622,50.640999949304,0.139210540209888,0.169875924215496,19,2,2,0,14,2,15,2,0,0,0.933333333333333,1,19,2,2,0,13,2,15,2,0,0,0.866666666666667,1,14,2,-125.711357078036,-0.573274378468142,ar,lower,upper,سفلي,علوي,سفليعلوي,اقرأعلوي,سفلي,اقرأ
عمدا,777.034714283247,776.800599969202,0.288260148701837,-0.0829834399503644,74.9344052483269,45.8318914924589,0.336486890893305,0.193061956712522,18,13,0,0,14,10,15,12,0,0,0.933333333333333,0.833333333333333,18,13,0,0,15,8,15,12,0,0,1,0.666666666666667,14,10,-0.234114314045428,-0.371243588652202,ar,accidentally,intentionally,بطريق الخطأ,عمدا,بطريق الخطأعمدا,كوبريعمدا,بطريق الخطأ,كوبري
عمدة,571.230649999049,704.792272714538,-0.592066509048138,-0.0644695798377198,51.5150014034043,60.3653267267788,0.167828223387255,0.206900384231684,21,23,1,1,20,22,20,22,0,0,1,1,21,23,1,1,20,20,20,22,0,0,1,0.909090909090909,20,22,133.561622715489,0.527596929210419,ar,sheriff,mayor,نقيب الشرطة,عمدة,نقيب الشرطةعمدة,يحميعمدة,نقيب الشرطة,يحمي
عمل,507.180000000051,597.0604546316,-0.89943313706808,-0.549773964862035,,36.350429608835,,0.203530291307557,3,12,0,0,1,11,1,11,0,0,1,1,3,12,0,0,1,10,1,11,0,0,1,0.909090909090909,1,11,89.8804546315489,0.349659172206045,ar,job,work,وظيفة,عمل,وظيفةعمل,ألفعمل,وظيفة,ألف
عمليا,720.319090911748,1113.59900019073,-0.194858924475964,2.2648376590392,74.5686961534388,,0.249999292038255,,13,2,1,0,11,1,11,2,1,0,1,0.5,13,2,1,0,11,2,11,2,1,0,1,1,11,1,393.279909278982,2.45969658351516,ar,literally,practically,حرفيا,عمليا,حرفياعمليا,اليومعمليا,حرفيا,اليوم
عموما,665.670318182497,615.495999997016,-0.155681078718074,-0.322524286413685,67.4881423246248,0.068000002996996,0.215290887085717,0.0630144585861155,25,4,2,0,22,2,22,2,0,0,1,1,25,4,2,0,22,2,22,2,0,0,1,1,22,2,-50.1743181854807,-0.166843207695611,ar,naturally,generally,بطبيعة الحال,عموما,بطبيعة الحالعموما,حلزونعموما,بطبيعة الحال,حلزون
عميل,542.412500011822,639.883400010731,-0.691618457795092,-0.338842297000758,28.5932555104556,95.9219086015241,0.118133934465415,0.320287805773504,4,6,0,0,4,5,4,5,0,0,1,1,4,6,0,0,4,5,4,5,0,0,1,1,4,5,97.4708999989091,0.352776160794334,ar,patient,client,مراجع,عميل,مراجععميل,فايروسعميل,مراجع,فايروس
عنصر,638.695333332555,610.071000003024,-0.269737930701312,-0.629760773043973,67.5525663244299,306.792999997036,0.196075465224125,0.298779517643237,10,3,1,1,9,2,9,2,0,0,1,1,10,3,1,1,9,2,9,2,0,0,1,1,9,2,-28.6243333295311,-0.360022842342661,ar,factor,element,عامل,عنصر,عاملعنصر,مليونيرعنصر,عامل,مليونير
عنوان,496.538999904878,576.706928691295,-0.894884065393997,-0.500783633857878,,57.5130356950771,,0.175893452106942,2,16,0,1,1,14,1,14,0,0,1,1,2,16,0,1,1,14,1,14,0,0,1,1,1,14,80.1679287864168,0.39410043153612,ar,number,address,رقم,عنوان,رقمعنوان,مشكلةعنوان,رقم,مشكلة
عيادة,576.858428570983,546.488285716917,-0.79492241922429,-0.755207891157258,63.3047367324935,42.3689597727729,0.159002683861272,0.122453718634928,8,14,2,1,7,14,7,14,2,0,1,1,9,14,1,1,8,14,8,14,1,0,1,1,7,14,-30.3701428540655,0.039714528067032,ar,hospital,clinic,مستشفى,عيادة,مستشفىعيادة,ختمعيادة,مستشفى,ختم
عيد الميلاد,634.647874988143,753.965249999863,-0.422478363122705,-0.0555546188337771,56.6068391797014,102.250973449074,0.271103279950342,0.387663523386745,10,4,0,1,8,4,8,4,0,0,1,1,10,4,0,1,8,4,8,4,0,0,1,1,8,4,119.31737501172,0.366923744288928,ar,anniversary,birthday,ذكرى سنوية,عيد الميلاد,ذكرى سنويةعيد الميلاد,خطيئةعيد الميلاد,ذكرى سنوية,خطيئة
غابة,678.448999996635,,-0.183528566107639,,79.0974468716703,,0.31872936611033,,6,,3,,5,,5,,1,,1,,7,,2,,5,,6,,0,,0.833333333333333,,5,,,,ar,jungle,forest,أدغال,غابة,أدغالغابة,عصاغابة,أدغال,عصا
غاضب,660.222999999649,647.759636375636,-0.64638623828778,-0.386174819865801,,36.811385271147,,0.09382462206576,3,25,0,1,1,22,1,23,0,0,1,0.956521739130435,3,25,0,1,1,9,1,23,0,0,1,0.391304347826087,1,22,-12.4633636240126,0.260211418421979,ar,jealous,angry,غيور,غاضب,غيورغاضب,شظيةغاضب,غيور,شظية
غالبا,778.037500002975,1031.28480004053,0.220333902802822,0.394106487954157,142.405499991058,205.543792996016,1.00778549763722,0.444464330332831,4,6,3,1,2,5,2,5,1,0,1,1,4,6,3,1,2,5,2,5,1,0,1,1,2,5,253.247300037555,0.173772585151334,ar,sometimes,often,بعض الأحيان,غالبا,بعض الأحيانغالبا,زرغالبا,بعض الأحيان,زر
غباء,604.067375002724,,-0.532586800558751,,42.755638452531,,0.176309290925493,,10,,0,,8,,8,,0,,1,,10,,0,,8,,8,,0,,1,,8,,,,ar,madness,stupidity,جنون,غباء,جنونغباء,"",جنون,""
غبار,581.270500001398,584.0228000751,-0.662133798308056,-0.878148764433438,119.621288710886,105.015616588127,0.483198413689911,0.312165457632845,11,5,0,0,10,5,10,5,0,0,1,1,11,5,0,0,8,5,10,5,0,0,0.8,1,10,5,2.75230007370169,-0.216014966125382,ar,ash,dust,رماد,غبار,رمادغبار,نهرغبار,رماد,نهر
غبي,656.886399985725,686.714866712637,-0.335001903909266,-0.172754213520736,73.4279394643136,70.2273846194744,0.260634299520513,0.231098260295553,11,37,0,4,10,30,11,30,0,0,0.909090909090909,1,10,37,1,4,8,27,10,30,1,0,0.8,0.9,10,30,29.8284667269123,0.162247690388531,ar,naive,stupid,ساذج,غبي,ساذجغبي,جنيهغبي,ساذج,جنيه
غبي.1,543.303350017613,663.863999982103,-0.733207909248452,-0.223123667492733,29.0516300560945,126.331999970163,0.0916769477833485,0.22080590143501,26,2,2,0,21,2,21,2,0,0,1,1,27,2,1,0,20,2,21,2,0,0,0.952380952380952,1,20,2,120.56064996449,0.510084241755719,ar,fool,idiot,مغفل,غبي,مغفلغبي,قناةغبي,مغفل,قناة
غثيان,744.442333315984,777.87049995827,-0.259439340086534,0.188024822915376,99.4432736576213,78.0895728915937,0.321242789585634,0.292753032258474,7,4,0,0,6,4,6,4,0,0,1,1,7,4,0,0,6,4,6,4,0,0,1,1,6,4,33.4281666422861,0.44746416300191,ar,diarrhea,nausea,إسهال,غثيان,إسهالغثيان,مليونغثيان,إسهال,مليون
غداء,622.980000044714,684.831800075477,-0.460379667919804,-0.725165788718003,66.5904588200218,93.3542556799323,0.276326006366118,0.434766125149269,7,8,1,0,4,5,4,5,0,0,1,1,7,8,1,0,4,5,4,5,0,0,1,1,4,5,61.8518000307632,-0.264786120798198,ar,snack,lunch,وجبة خفيفة,غداء,وجبة خفيفةغداء,رادارغداء,وجبة خفيفة,رادار
غرفة نوم,570.730636367101,787.625538422561,-0.578602826688048,0.00739750437510603,28.1125583222185,71.4839769326582,0.0581222724417483,0.227069454574927,24,13,1,0,22,13,22,13,0,0,1,1,24,13,1,0,21,12,22,13,0,0,0.954545454545455,0.923076923076923,22,13,216.89490205546,0.586000331063154,ar,room,bedroom,غرفة,غرفة نوم,غرفةغرفة نوم,ضفدعغرفة نوم,غرفة,ضفدع
غريب,640.482333383736,607.41610002406,-0.431572342143646,-0.324562432753062,85.2688210478487,43.3663222819753,0.195570827785365,0.18047407087932,4,22,0,1,3,20,3,20,0,0,1,1,4,22,0,1,2,18,3,20,0,0,0.666666666666667,0.9,3,20,-33.0662333596766,0.107009909390584,ar,unusual,strange,غير عادي,غريب,غير عاديغريب,الماسغريب,غير عادي,الماس
غضب,762.978000000005,715.29400005933,-0.168083774511143,-0.0800922974086532,258.978000000005,75.76643297896,0.826032018736334,0.307262495536352,2,10,0,0,2,8,2,8,0,0,1,1,2,10,0,0,0,8,2,8,0,0,0,1,2,8,-47.6839999406748,0.0879914771024903,ar,anger,rage,حنق,غضب,حنقغضب,أمغضب,حنق,أم
غطرسة,815.568888861821,1406.22899993447,-0.0464420369483152,1.19196579015484,45.9412582245021,455.776530710504,0.147161707791849,0.929082496778856,9,3,0,1,9,3,9,3,0,0,1,1,9,4,0,0,9,3,9,3,0,0,1,1,9,3,590.660111072649,1.23840782710316,ar,ignorance,arrogance,جهل,غطرسة,جهلغطرسة,خاتمغطرسة,جهل,خاتم
غوريلا,719.351833318029,957.311249947817,-0.239000207306724,0.332969216195095,35.6686624592553,316.385112398835,0.134090110517041,0.605131145523976,18,4,0,0,12,4,14,4,0,0,0.857142857142857,1,18,4,0,0,12,4,14,4,0,0,0.857142857142857,1,12,4,237.959416629788,0.571969423501819,ar,monkey,gorilla,قرد,غوريلا,قردغوريلا,وصولغوريلا,قرد,وصول
غياب,689.639500013378,819.43449999258,-0.326205606291519,-0.0721098300209605,57.3788457563272,255.670238844356,0.154303700974209,0.639926751256493,12,6,0,1,10,4,10,4,0,0,1,1,12,6,0,1,9,4,10,4,0,0,0.9,1,10,4,129.794999979203,0.254095776270559,ar,presence,absence,حضور,غياب,حضورغياب,تنينغياب,حضور,تنين
غيتار,732.287916655342,1103.28049999702,-0.22577247433711,1.15031614999793,45.6732867823933,272.337499996996,0.139989836973865,0.316318943214895,18,4,0,0,12,2,15,2,0,0,0.8,1,18,4,0,0,12,1,15,2,0,0,0.8,0.5,12,2,370.992583341682,1.37608862433504,ar,piano,guitar,بيانو,غيتار,بيانوغيتار,قلغيتار,بيانو,قل
غير سارة,552.175000005959,586.144499995542,-0.348782603793744,-0.711775318570135,30.7862193645068,3.80349999552698,0.093969582653599,0.00564047566719467,10,2,1,0,7,2,8,2,0,0,0.875,1,10,2,1,0,8,2,8,2,0,0,1,1,7,2,33.9694999895833,-0.362992714776391,ar,uncomfortable,unpleasant,غير مريح,غير سارة,غير مريحغير سارة,يصلغير سارة,غير مريح,يصل
غير قادر,852.41849985707,937.702999998526,-0.132278108197492,0.0144547464921934,373.55950014328,174.815590647843,0.546401341539722,0.319316124342533,2,6,0,0,2,4,2,5,0,0,1,0.8,2,6,0,0,2,4,2,5,0,0,1,0.8,2,4,85.2845001414563,0.146732854689685,ar,inability,unable,عجز,غير قادر,عجزغير قادر,جافغير قادر,عجز,جاف
غير مسؤول,662.278966685659,,-0.378540461393951,,47.1909449339476,,0.11484293463628,,33,,1,,30,,30,,0,,1,,33,,1,,29,,30,,0,,0.966666666666667,,30,,,,ar,unreasonable,irresponsible,غير منطقى,غير مسؤول,غير منطقىغير مسؤول,منصةغير مسؤول,غير منطقى,منصة
غير معقول,,715.146454561299,,-0.207102370545487,,46.2821078339308,,0.147765146422431,,11,,0,,11,,11,,0,,1,,11,,0,,11,,11,,0,,1,,11,,,ar,ridiculous,absurd,سخيف,غير معقول,سخيفغير معقول,بياناتغير معقول,سخيف,بيانات
غير منصف,631.699526295547,715.096777762888,-0.300968350851678,-0.129267337307304,35.6147061899332,42.4361044850851,0.0996408146768283,0.123706156111317,21,25,1,0,19,18,20,19,0,0,0.95,0.947368421052632,21,25,1,0,20,9,20,19,0,0,1,0.473684210526316,19,18,83.3972514673411,0.171701013544374,ar,injustice,unfair,ظلم,غير منصف,ظلمغير منصف,درقةغير منصف,ظلم,درقة
فاتن,623.315000001458,820.928499999982,-0.48242772347293,0.655177596562006,37.4160000045085,258.313499991027,0.280256497004141,0.937932403121355,2,3,0,0,2,2,2,3,0,0,1,0.666666666666667,2,3,0,0,2,3,2,3,0,0,1,1,2,2,197.613499998525,1.13760532003494,ar,attractive,charming,جذاب,فاتن,جذابفاتن,يعانيفاتن,جذاب,يعاني
فاكس,621.89299995231,713.396833359269,-0.668355955565506,-0.257720600541722,,67.4204470874478,,0.21470738069686,1,7,0,2,1,6,1,7,0,1,1,0.857142857142857,1,7,0,2,1,7,1,7,0,1,1,1,1,6,91.5038334069586,0.410635355023783,ar,mail,fax,بريد,فاكس,بريدفاكس,لعبفاكس,بريد,لعب
فاكهة,577.820000000031,613.946500004473,-0.739264077201306,-0.32909364095787,80.1129168930289,134.946500004473,0.245169344407332,0.783336597991595,6,2,2,0,6,2,6,2,0,0,1,1,6,2,2,0,6,2,6,2,0,0,1,1,6,2,36.1265000044417,0.410170436243436,ar,apple,fruit,تفاحة,فاكهة,تفاحةفاكهة,ينظرفاكهة,تفاحة,ينظر
فانيلا,616.083894738217,819.775625023707,-0.369373271269132,0.195404816194494,34.9868318861325,73.9852337645991,0.119904820644259,0.24515825660313,22,12,1,0,19,8,20,11,0,0,0.95,0.727272727272727,22,12,1,0,20,11,20,11,0,0,1,1,19,8,203.69173028549,0.564778087463626,ar,cinnamon,vanilla,قرفة,فانيلا,قرفةفانيلا,جدفانيلا,قرفة,جد
فترة,515.500789472466,643.43572726911,-0.7507869052661,-0.437710946483005,33.1789552409311,30.5421284908098,0.0978149152423316,0.0799498592686902,20,13,1,0,19,11,19,12,0,0,1,0.916666666666667,20,13,1,0,19,11,19,12,0,0,1,0.916666666666667,19,11,127.934937796644,0.313075958783095,ar,phase,period,مرحلة,فترة,مرحلةفترة,قردفترة,مرحلة,قرد
فجر,525.669300023136,619.264333389898,-0.715745347922284,-0.432806807362513,27.8731160741122,33.2445161231777,0.0845086991089822,0.146403292464262,36,15,2,1,30,12,30,12,0,0,1,1,36,15,2,1,30,12,30,12,0,0,1,1,30,12,93.5950333667627,0.28293854055977,ar,sunset,dawn,غروب الشمس,فجر,غروب الشمسفجر,ذكرفجر,غروب الشمس,ذكر
فدية,713.976999988081,865.772812498202,-0.301082501796485,0.303019293683626,129.845000059577,77.8096089241807,0.202598372470387,0.188953755442077,3,26,0,0,2,16,3,22,0,0,0.666666666666667,0.727272727272727,3,26,0,0,2,17,3,22,0,0,0.666666666666667,0.772727272727273,2,16,151.795812510121,0.60410179548011,ar,kidnapper,ransom,خطف,فدية,خطففدية,ميلفدية,خطف,ميل
فرح,513.948470596496,710.206199866556,-0.756973741927592,-0.454303333231673,19.7255100122376,72.1598903773979,0.0618278048802576,0.354427796585083,21,5,0,0,17,5,17,5,0,0,1,1,21,5,0,0,17,5,17,5,0,0,1,1,17,5,196.25772927006,0.302670408695919,ar,proud,excited,فخور,فرح,فخورفرح,سن المراهقةفرح,فخور,سن المراهقة
فرد,578.930166677436,,-0.540713227544006,,58.8809381106658,,0.175582886148328,,7,,0,,6,,6,,0,,1,,7,,0,,6,,6,,0,,1,,6,,,,ar,person,individual,شخص,فرد,شخصفرد,صدئفرد,شخص,صدئ
فرقة,783.494299988537,742.19975001493,0.0765271161993082,-0.307900523633205,78.268233069713,94.788771517852,0.203133829455153,0.267304927743241,24,4,1,0,20,4,22,4,0,0,0.909090909090909,1,23,4,2,0,12,4,21,4,1,0,0.571428571428571,1,20,4,-41.2945499736077,-0.384427639832513,ar,orchestra,band,أوركسترا,فرقة,أوركسترافرقة,ممتازفرقة,أوركسترا,ممتاز
فرنسي,439.142444443105,829.100600003731,-1.24475395206588,0.112369185336497,65.131060267489,183.94846908214,0.251912316239562,0.575711827363965,10,6,1,0,9,5,9,5,0,0,1,1,10,6,1,0,9,5,9,5,0,0,1,1,9,5,389.958155560626,1.35712313740237,ar,english,french,إنجليزي,فرنسي,إنجليزيفرنسي,يمينفرنسي,إنجليزي,يمين
فريدة من نوعها,710.332999988052,678.276499986385,-0.098764741402997,0.00248284032613214,,48.3286371871562,,0.15011593523579,1,15,0,1,1,14,1,14,0,0,1,1,1,15,0,1,1,14,1,14,0,0,1,1,1,14,-32.0565000016675,0.101247581729129,ar,special,unique,خاص,فريدة من نوعها,خاصفريدة من نوعها,مزدوجفريدة من نوعها,خاص,مزدوج
فريق,652.655500037305,628.887142900627,-0.155206827717373,-0.35842490831329,78.1945000342675,56.0126572224831,0.422140775022248,0.162740254867851,3,8,0,1,2,7,2,7,0,0,1,1,3,8,0,1,1,7,2,7,0,0,0.5,1,2,7,-23.7683571366774,-0.203218080595917,ar,league,team,الدوري,فريق,الدوريفريق,افتحفريق,الدوري,افتح
فستان,847.219999932461,504.873750010675,0.110192171954009,-0.758390539040958,67.1340301939426,32.7110491463766,0.163940107676731,0.113078166093468,3,13,1,1,3,12,3,12,1,0,1,1,3,13,1,1,3,12,3,12,1,0,1,1,3,12,-342.346249921786,-0.868582710994967,ar,skirt,dress,تنورة,فستان,تنورةفستان,يغادرفستان,تنورة,يغادر
فشل,626.787571453726,574.742199917146,-0.573279937386715,-0.283175143533469,26.4564665902664,55.4713381563509,0.0848343146679924,0.206511612736102,14,5,0,0,14,5,14,5,0,0,1,1,14,5,0,0,14,4,14,5,0,0,1,0.8,14,5,-52.0453715365799,0.290104793853245,ar,success,failure,نجاح,فشل,نجاحفشل,دشفشل,نجاح,دش
فضة,541.573000006669,646.464857094423,-0.781931439498118,-0.32863563910902,39.1110675341004,63.7681259912159,0.0987231169068293,0.292380911303024,14,9,1,0,13,7,13,7,0,0,1,1,14,9,1,0,13,7,13,7,0,0,1,1,13,7,104.891857087754,0.453295800389098,ar,golden,silver,ذهبي,فضة,ذهبيفضة,عصبفضة,ذهبي,عصب
فضيحة,597.068999977652,675.370826075253,-0.26902202182031,-0.253048868311476,44.0159999746685,66.6375098627571,0.0205920200574852,0.164418269542811,3,25,0,1,2,23,2,23,0,0,1,1,3,24,0,2,2,21,2,22,0,1,1,0.954545454545455,2,23,78.3018260976014,0.0159731535088343,ar,gossip,scandal,نميمة,فضيحة,نميمةفضيحة,الحمض النوويفضيحة,نميمة,الحمض النووي
فظيع,538.743666664794,858.272666683548,-0.904151941334875,0.127834726019708,66.5020240209318,116.403641244221,0.11399553467664,0.182067714292398,4,3,0,0,3,3,3,3,0,0,1,1,4,3,0,0,3,3,3,3,0,0,1,1,3,3,319.529000018754,1.03198666735458,ar,terrible,horrible,سيء,فظيع,سيءفظيع,حارسفظيع,سيء,حارس
فعال,643.507125190645,521.427599971485,-0.309172919453736,-0.62953710805877,38.2593088783374,50.6806842818455,0.126646056135357,0.201158863578938,10,5,0,0,8,5,9,5,0,0,0.888888888888889,1,10,5,0,0,9,5,9,5,0,0,1,1,8,5,-122.07952521916,-0.320364188605034,ar,useful,effective,مفيد,فعال,مفيدفعال,متعَبفعال,مفيد,متعَب
فعل,508.857000071497,745.493000000482,-0.664196477600293,-0.744062841287939,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,236.635999928985,-0.0798663636876457,ar,gesture,act,إيماءة,فعل,إيماءةفعل,الثالثفعل,إيماءة,الثالث
فعل.1,552.593999952282,587.557400004415,-0.890609510620286,-0.672174758448616,53.7185662804869,71.1659940854385,0.139989011594509,0.196066722040158,4,10,0,0,4,10,4,10,0,0,1,1,4,10,0,0,4,10,4,10,0,0,1,1,4,10,34.963400052133,0.21843475217167,ar,make,do,صنع,فعل,صنعفعل,ضعيففعل,صنع,ضعيف
فقرة,570.12884212391,709.879000008503,-0.558589726910965,-0.0705945146812074,47.7463288481081,118.621082791606,0.122132380048179,0.41343442251405,20,5,1,0,19,5,19,5,0,0,1,1,20,5,1,0,19,5,19,5,0,0,1,1,19,5,139.750157884593,0.487995212229758,ar,section,paragraph,الجزء,فقرة,الجزءفقرة,شاكرفقرة,الجزء,شاكر
فندق صغير,612.291666668403,896.302899942408,-0.575025416277236,0.336433348168223,57.0707625145478,167.003543669743,0.188838348892078,0.501118605174204,8,11,0,0,6,10,6,10,0,0,1,1,8,11,0,0,6,9,6,10,0,0,1,0.9,6,10,284.011233274004,0.911458764445459,ar,hotel,motel,الفندق,فندق صغير,الفندقفندق صغير,عيارفندق صغير,الفندق,عيار
فوق,,571.258764736032,,-0.587966106277333,,36.4770181159117,,0.0879000725344884,,22,,1,,17,,18,,0,,0.944444444444444,,22,,1,,17,,18,,0,,0.944444444444444,,17,,,ar,down,up,تحت,فوق,تحتفوق,يركضفوق,تحت,يركض
في النهاية,816.316999990783,623.520749950068,0.109622401871876,-0.118515560697028,85.8550584410911,65.5730309916083,0.485535462294044,0.460485067796674,8,4,1,0,6,4,6,4,0,0,1,1,8,4,1,0,6,4,6,4,0,0,1,1,6,4,-192.796250040715,-0.228137962568904,ar,finally,eventually,أخيرا,في النهاية,أخيرافي النهاية,تعرففي النهاية,أخيرا,تعرف
في داخل,508.748500000103,651.747000001639,-1.00380220094022,-0.37982343155688,62.2514999998965,32.2265782451915,0.326769122174065,0.125794407472666,2,11,0,1,2,10,2,10,0,0,1,1,2,11,0,1,2,8,2,10,0,0,1,0.8,2,10,142.998500001535,0.623978769383336,ar,outside,inside,في الخارج,في داخل,في الخارجفي داخل,يسبفي داخل,في الخارج,يسب
فيتامين,518.387999802828,,-0.992168542041514,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,ar,protein,vitamin,بروتين,فيتامين,بروتينفيتامين,مستشارفيتامين,بروتين,مستشار
فيديو,464.851999618579,542.974800025602,-0.713634330217499,-0.442172287493711,,62.3468987004844,,0.117373664558625,1,6,0,0,1,5,1,5,0,0,1,1,1,6,0,0,1,5,1,5,0,0,1,1,1,5,78.122800407023,0.271462042723788,ar,dvd,video,دي في دي,فيديو,دي في ديفيديو,قصرفيديو,دي في دي,قصر
فيروس نقص المناعة المكتسبة,1103.32674995382,1306.02186364261,0.705264340762201,2.1565461847799,174.809282589728,101.838805179218,0.258017693289411,0.345409905562576,5,24,0,2,4,22,4,22,0,0,1,1,5,24,0,2,4,21,4,22,0,0,1,0.954545454545455,4,22,202.69511368879,1.4512818440177,ar,aids,hiv,مرض الإيدز,فيروس نقص المناعة المكتسبة,مرض الإيدزفيروس نقص المناعة المكتسبة,الصبرفيروس نقص المناعة المكتسبة,مرض الإيدز,الصبر
قاتل,569.080636351721,597.442499892731,-0.626065127888763,-0.565448356661122,40.4246425370616,26.0396914297515,0.117280799254126,0.0654954667270551,25,5,1,0,22,4,23,4,0,0,0.956521739130435,1,25,5,1,0,22,4,23,4,0,0,0.956521739130435,1,22,4,28.3618635410102,0.0606167712276409,ar,killer,murderer,القاتل,قاتل,القاتلقاتل,ابحاثقاتل,القاتل,ابحاث
قاتل.1,627.089699983726,620.209727248849,-0.420754758498015,-0.468906732619791,48.5350811678003,32.7749446587523,0.162357974892402,0.0837500575071191,24,25,2,2,20,22,20,22,0,0,1,1,24,26,2,1,18,22,20,22,0,0,0.9,1,20,22,-6.87997273487736,-0.0481519741217764,ar,mercenary,assassin,مرتزق,قاتل,مرتزققاتل,عَلَمقاتل,مرتزق,عَلَم
